item_name,category_name
uno hamburger 6 li.yatay 312gr,unlu mamüller
sultan buyuk tam buğday ekmegi,unlu mamüller
uno pastaban kakaolu 2 kat 250gr.,unlu mamüller
unx yoğun kepekli köy 400 gr,unlu mamüller
içim puding kakao-findik 150gr,unlu mamüller
eti hosbes gofret 160 gr findikli,büskivi çerez
eti canga 50gr,büskivi çerez
pınar sut 1 lt.,süt
sutas çilek sut 200 ml,süt
pınar sut 200ml extra light,süt
ülker cizi vic peynirli sand.kraker 3'lü 270 gr,büskivi çerez
ülker kremali biskuvi 85 gr,büskivi çerez
sek sut 1 lt. sade,süt
sek sut 500 ml. sade,süt
sek sade sut 200 ml.,süt
halk sut 1/1 lt,süt
emek mısırozu yağ 1lt.pet sise,sıvı yağlar
kent tipitip sakız,sakız şekerleme
terem yağ kase 500 gr,tereyağ margarin
pınar tereyaği 250gr.pastorize kase,tereyağ margarin
içim tereyaği 500 gr,tereyağ margarin
halk margarin 250 gr 6 li,tereyağ margarin
becel pratik yağ 455 gr,tereyağ margarin
sutas meyveli yogurt 2 li seftali+kayisi,yoğurt
sutas tereyağ 125gr folyo,tereyağ margarin
sutas buyumix 6 li çilek yeni,yoğurt
eti cici bebe 1 kg.,hazır yemek mama
eti cici bebe biskuvi eko 400,hazır yemek mama
pınar mayonez 650 gr.,hazır yemekler
tadım ay cekirdek 400gr,büskivi çerez
pınar mayonez 250 gr.,hazır yemekler
akide sekeri-2,büskivi çerez
tat aci biber tursusu 370 gr,hazır yemekler
tadım soslu yer fistigi 75 gr,büskivi çerez
f kalitem ic findik 700 gr,büskivi çerez
akide sekeri,büskivi çerez
fabu ajax mutfak yağ coz+yedek,ev temizleyici
bingosoft 6 lt ada ferahliği,çamaşır yikama
fabuloso 900 ml lavanta,ev temizleyici
fax sıvı sabun manolya 500ml,duş banyo
f saff sıvı sabun dogal esinti 2500ml,duş banyo
uludağ limonata 1 litre,gazsız içecek
bizden osmancik pirinç 1kg,bakliyat
uludağ frutti extra mandalinali 250ml,gazsız içecek
duru sıvı sabun fruit'n milk 300 ml çilek,duş banyo
çaykur didi soguk çay 500 ml bergamot,gazsız içecek
reis midyat pilavlik bulgur 1kg,bakliyat
bizden baldo pirinç 2 kg,bakliyat
fabuloso sik ve sil sprey 500ml limon,ev temizleyici
tadım cifte kavrulmus 90 gr sari leblebi,büskivi çerez
tadım mısır 75 gr,büskivi çerez
derya dilim kasar 200 gr,peynir
falim sakız 5li karisik meyveli,sakız şekerleme
konya kup seker 360 ad.1000 gr,çay kahve
konya kup seker 750 gr,çay kahve
falim sakız 5li isil karbonatli,sakız şekerleme
ekici kasar peyniri 400 gr,peynir
f kalitem kavrulmus ic findik 400 gr,büskivi çerez
bizim mayonez 250 gr pwc,hazır yemekler
eti cici bebe 190gr.muzlu poset,hazır yemek mama
sek tereyaği 125 gr.,tereyağ margarin
kebir tereyağ 250 gr. tuzsuz,tereyağ margarin
terem yağ gurme kaymakli kase 250 gr.,tereyağ margarin
yorsan tereyaği 250gr,tereyağ margarin
becel kase omega 500 gr,tereyağ margarin
terem yağ kase 250 gr.,tereyağ margarin
"uludağ gazoz 2,5 lt.eko boy sa",gazli içecek
uludağ gazoz 1lt efsane şekersiz,gazli içecek
pınar yayik tereyaği 250 gr.,tereyağ margarin
tadım ay cekirdegi 50 gr,büskivi çerez
içim taze kasar 400 gr,peynir
tat salatalik tursusu cam 680g,hazır yemekler
calve ketcap 700 gr acili,hazır yemekler
yumos extra 1500 ml gul,çamaşır yikama
vernel 1.5lt max deniz esintisi,çamaşır yikama
yumos extra 1500 ml gardenya menekse,çamaşır yikama
yumos extra 1500 ml lavanta&manolya,çamaşır yikama
vernel 1.5lt max royal lilyum,çamaşır yikama
vernel 1.5lt max sensual,çamaşır yikama
lofçali yağ cozucu 750ml,ev temizleyici
argem kek kapsulu 100'lu,mutfak eşya gereçleri
argem japon kurdan 200'lu,mutfak eşya gereçleri
f neffis koftelik bulgur 1 kg.,bakliyat
f saff sıvı sabun bahar ferahligi 2500ml,duş banyo
bizden osmancik pirinç 2500 gr,bakliyat
bizden nohut 1kg,bakliyat
çaykur didi soguk çay 500 ml seftali,gazsız içecek
çaykur didi soguk çay 500 ml limon,gazsız içecek
activex sıvı sabun 650 ml hassas,duş banyo
f neffis yesil mercimek 1 kg,bakliyat
permatik banyo bicagi,traş malzemeleri
